Policy,MOE_energy,ExcessPercent,Rows,TailRegret
openloop,0.946912728125462,5.60635318311028,900,1.59043167999981
sweepcal,0.924747125095666,8.13767059795386,900,2.98066669019621
purerl_off,0.955022708273862,4.70955206996402,900,5.28612688953676
known,1.00405228340833,-0.403592868149638,900,-0.667178908659516
