Algorithm,Scenario,Seed,TailErr,FinalErr,RegretPercent,MOE_energy,MOE_overall,MOE_instant,MOE_avail,EnergyExcessPercent,TSearchOrRecovery,SearchSteps,BudgetUtilization,EnergyOn
ea_multistart,static_wind,11,0.239384093863357,0.244922019095569,0.52405345966206,0.947608226587616,0.883853289386284,0.994806777451111,0.558035714285714,5.52884324369464,153,181,1,1
ea_multistart,static_wind,12,0.647201361267347,1.08637185629825,2.84630904819457,0.946372973750792,0.833363988550067,0.972612397637505,0.341968911917098,5.66658471201538,146,210,1,1
ea_multistart,static_wind,13,0.195890912228365,0.300912733193652,0.378869155420267,0.948207422388379,0.897975291627331,0.996238601443805,0.625,5.462156948863,152,181,1,1
ea_multistart,static_wind,14,0.519957966613732,0.0617171707644779,1.81603417925926,0.948899955202347,0.837026474274942,0.982231733098608,0.33953488372093,5.38518781853626,155,187,1,1
ea_multistart,static_wind,15,0.261140910118395,0.21818130841936,0.606111219275495,0.947569322463699,0.881805908053735,0.993999394168189,0.549107142857143,5.53317591582437,152,181,1,1
ea_multistart,static_wind,16,0.162576334798799,0.350969628051767,0.281906353477886,0.945567034807578,0.868561139314935,0.997197548077411,0.483091787439614,5.75664793596562,287,195,1,1
ea_multistart,static_wind,17,0.837635466717358,1.26102888104305,3.59016351231807,0.947696979746845,0.824204370777514,0.965531211637187,0.303482587064677,5.5189603186376,111,202,1,1
ea_multistart,static_wind,18,0.460524395694372,0.00228359984511872,1.52265835607358,0.94635182282894,0.849523728743411,0.985062672616333,0.404145077720207,5.66894635556243,155,210,1,1
ea_multistart,static_wind,19,0.164540062005207,0.347696749374421,0.287255212478231,0.955428408688399,0.926625020642916,0.997144581460838,0.748837209302326,4.66508959816134,111,187,1,1
ea_multistart,static_wind,20,0.122876393485262,0.46104407528687,0.186494392013982,0.948192244293765,0.916396853015542,0.998145293371721,0.714285714285714,5.46384512402568,152,181,1,1
ea_multistart,static_wind,21,0.267538244702399,0.210504506918555,0.631096808867247,0.954525659779338,0.913063392009256,0.993753811716452,0.688372093023256,4.76407729376018,146,187,1,1
ea_multistart,static_wind,22,0.640799739802674,0.173091681255254,2.63596950326885,0.946421180459935,0.854676581018988,0.974489399348547,0.44559585492228,5.66120250119791,157,210,1,1
ea_multistart,static_wind,23,0.161189226598054,0.58371256128037,0.27760881495804,0.948046568438544,0.906233255104247,0.997247521997536,0.665178571428571,5.48005058939501,189,181,1,1
ea_multistart,static_wind,24,0.512929646606882,0.0546888507576284,1.78089122043383,0.949166042184512,0.839121498473428,0.982570118402355,0.348837209302326,5.3556443821456,155,187,1,1
ea_multistart,static_wind,25,0.160437301704873,0.0175889914552787,13.5296946803119,0.929867635327124,0.833737140215245,0.896011075172276,0.5,7.54218794250252,146,262,1,1
ea_multistart,static_wind,26,0.63645626615089,1.0450833651128,3.5602840787894,0.94632896404159,0.835569030516462,0.966218961306799,0.362694300518135,5.6714988125473,152,210,1,1
ea_multistart,static_wind,27,0.652446283618732,0.194205487769478,2.48040169200206,0.945963135567846,0.810394047661283,0.975871056955543,0.223255813953488,5.71236472124434,159,187,1,1
ea_multistart,static_wind,28,0.125661139611051,0.478677579870304,0.186779195404451,0.947818030276817,0.914423378265699,0.998143115186206,0.705357142857143,5.50548397016069,154,181,1,1
ea_multistart,static_wind,29,0.464507204386826,0.00626640853757188,1.54198552537939,0.949829575694013,0.844796116583752,0.984875746951944,0.372093023255814,5.28204486255643,154,187,1,1
ea_multistart,static_wind,30,0.278832131956998,0.196951842213037,0.676704366704132,0.953995775219342,0.897780336780563,0.993305838321576,0.613953488372093,4.8222671395039,146,187,1,1
multistart,static_wind,11,2.52425028807219,2.06600949222293,7.64792233470403,0.915753089321097,0.739371541449316,0.929089435662674,0.013840830449827,9.19974081019591,20,205,1,1
multistart,static_wind,12,2.18091289211448,1.72267209626523,5.61349949390155,0.920357308806483,0.745712314527697,0.946930382233034,0.00727272727272727,8.65345343938186,20,233,1,1
multistart,static_wind,13,2.44242197918338,1.98418118333413,7.14063904262224,0.898320031763358,0.731387055321941,0.933484070861481,0.0109090909090909,11.3189024669805,20,233,1,1
multistart,static_wind,14,2.50843894219855,2.05019814634929,7.55074877665948,0.911294945922664,0.736080602003856,0.92992861195993,0.00727272727272727,9.73395654987683,20,233,1,1
multistart,static_wind,15,4.86653061412683,5.32477140997609,11.0619961049759,0.892414068600378,0.719095706359557,0.900401686564676,0.013840830449827,12.0556068292777,20,205,1,1
multistart,static_wind,16,2.50390821720389,2.04566742135464,7.52279562675645,0.912032667338267,0.736521951440981,0.930170241057674,0.00727272727272727,9.64519537644004,20,233,1,1
multistart,static_wind,17,2.72909773959196,2.2708569437427,8.79625597527655,0.905582810655949,0.730024796795168,0.919262820042158,0.00727272727272727,10.4261242851618,20,233,1,1
multistart,static_wind,18,1.19622628398638,0.737985488137125,4.17695834593481,0.930735043088813,0.755525348481276,0.959920029183505,0.0109090909090909,7.44196293300814,20,233,1,1
multistart,static_wind,19,2.64536124442724,2.18712044857799,8.35924580739055,0.911215223447844,0.733886720929214,0.922983420534363,0.0069204152249135,9.74355720443447,20,205,1,1
multistart,static_wind,20,2.72332933527607,2.26508853942682,8.76803935648011,0.906183832080903,0.730397176488944,0.919502383313157,0.00727272727272727,10.3528847677257,20,233,1,1
multistart,static_wind,21,2.5147082308983,2.05646743504905,7.5893526517729,0.912004001537615,0.736335072126181,0.929595086342762,0.00727272727272727,9.64864170705677,20,233,1,1
