WindKind,Policy,MOE_energy,EnergyExcessPercent,TailRegretPercent,ExcessStd,UstarErrMax,Steps
zero,openloop,1,0,0,0,NaN,800
zero,sweepcal,0.973786554031535,2.69212808998757,1.07485982698353,0.212221902177968,0.297063921338507,800
zero,rl,0.96797785210135,3.30826729619449,2.69602688074664,0.15645766855445,NaN,800
zero,known,1,0,0,0,NaN,800
const,openloop,0.939846321287619,6.40037390687113,6.63200110724694,0,NaN,800
const,sweepcal,0.981270496970359,1.90881833899738,0.374655817827853,0.155768576293024,0.107704818682578,800
const,rl,0.974749110308923,2.59054127254997,0.652863574901192,0.0904095859111798,NaN,800
const,known,0.998868150781779,0.113313175250877,0.111990364998324,0,NaN,800
vary,openloop,0.954180528732606,4.80197375192684,4.92216446867215,0.0244744997050437,NaN,800
vary,sweepcal,0.951523438022463,5.09532897367239,4.81583431226002,0.384350345668764,0.783329136473138,800
vary,rl,0.96597583374211,3.52226627057848,1.91573570541942,0.0400180025443552,NaN,800
vary,known,0.996963237486637,0.304601271462258,0.306164628188382,0.00192434439684971,NaN,800
