WindKind,Policy,ExcessMean,ExcessMax,MaxAccelUsed,Steps,EnergyOn
const,openloop,6.73495737391379,6.73495737391379,0,60,1
const,tracker,3.35253055557037,3.39992344892326,2,60,1
const,esc,6.14547597306414,6.86955715901927,2,60,1
const,spsa,6.27515008536763,6.28676345684991,2,60,1
const,bayes,10.5906175809375,10.9018390946898,2,60,1
const,qnewton,5.69401391363862,5.91803720267947,2,60,1
const,gtrack,5.08793679425521,5.69383154272657,2,60,1
const,est,7.61573460348369,7.92060916559898,2,60,1
const,known,0.208876199618389,0.208876199618389,2,60,1
sin,openloop,6.23487552204821,6.23487552204821,0,60,1
sin,tracker,4.11320071073598,4.17816044857767,2,60,1
sin,esc,6.84635615991389,7.28700503863173,2,60,1
sin,spsa,6.28628949349262,6.31597010003712,2,60,1
sin,bayes,11.7778153738032,12.3122655445763,2,60,1
sin,qnewton,6.2208436317048,6.40813183229543,2,60,1
sin,gtrack,6.46027081322412,7.35478740441238,2,60,1
sin,est,7.39054636466491,7.69253493194201,2,60,1
sin,known,0.261407389112102,0.261407389112102,2,60,1
square,openloop,6.02105981784049,6.02105981784049,0,60,1
square,tracker,5.27040317178164,6.35999368167702,2,60,1
square,esc,6.83003998064857,7.36104302028726,2,60,1
square,spsa,6.27731527360116,6.30475758846025,2,60,1
square,bayes,12.9421589318882,13.0961730858165,2,60,1
square,qnewton,6.43144633769959,6.52754240416137,2,60,1
square,gtrack,6.69420761841421,7.47716900270716,2,60,1
square,est,7.85805386538178,8.07885162559023,2,60,1
square,known,0.510854137907841,0.510854137907841,2,60,1
triangle,openloop,5.9322215150057,5.9322215150057,0,60,1
triangle,tracker,4.77926231168103,5.44308795461456,2,60,1
triangle,esc,5.71470258184625,6.09674037204731,2,60,1
triangle,spsa,6.20605101921608,6.2596110864173,2,60,1
triangle,bayes,11.9579266055966,12.8331992022026,2,60,1
triangle,qnewton,6.29218026135239,6.5290881015133,2,60,1
triangle,gtrack,6.46617604791975,7.49988485403524,2,60,1
triangle,est,7.80796305688855,7.84696368292812,2,60,1
triangle,known,0.235143641037894,0.235143641037894,2,60,1
turb,openloop,5.48095774688168,5.96848333906868,0,60,1
turb,tracker,5.90236243270912,7.39230601045809,2,60,1
turb,esc,5.99325150908159,6.5235355573571,2,60,1
turb,spsa,5.99602359371139,6.12314568845581,2,60,1
turb,bayes,10.9288872035042,11.6152518281219,2,60,1
turb,qnewton,5.67196001809194,5.98013726958481,2,60,1
turb,gtrack,5.17155481991302,5.63215056860892,2,60,1
turb,est,7.11375083879893,7.93276257483084,2,60,1
turb,known,2.87754889010159,2.88393537618802,2,60,1
composite,openloop,6.1045091185344,6.17824926970432,0,60,1
composite,tracker,5.61508166430899,6.25662989851572,2,60,1
composite,esc,6.50015007922362,7.67665563916704,2,60,1
composite,spsa,6.35376247303628,6.36175626415593,2,60,1
composite,bayes,12.0989110839233,12.3980457896516,2,60,1
composite,qnewton,6.25125048040158,6.42910364229368,2,60,1
composite,gtrack,6.63696058642348,7.39305159553834,2,60,1
composite,est,7.28353994675575,7.45335993867702,2,60,1
composite,known,0.443459671983788,0.472151028512823,2,60,1
sector,openloop,6.98821060670686,6.98821060670686,0,60,1
sector,tracker,3.42273460785995,4.12497712380172,2,60,1
sector,esc,2.81146740421118,3.03624287852255,2,60,1
sector,spsa,5.06934854719518,5.23522470184864,2,60,1
sector,bayes,10.7802043740683,10.7816890019086,2,60,1
sector,qnewton,3.82206299126387,3.94584060858889,2,60,1
sector,gtrack,3.60733399282362,4.92732816175235,2,60,1
sector,est,5.43879496953126,5.67910469174817,2,60,1
sector,known,0.0702873455375942,0.0702873455375942,2,60,1
