Policy,Seed,MOE_energy,MOE_overall,MOE_instant,MOE_avail,EnergyExcessPercent,MeanTrackLag
openloop,11,0.946722492783323,0.773723465400132,0.950837026324532,0.0755555555555556,5.62757382683952,0
openloop,12,0.946722492783323,0.773723465400132,0.950837026324532,0.0755555555555556,5.62757382683952,0
tracker,11,0.944447774965339,0.772489830404355,0.935516106035246,0.0980555555555556,5.88197955537554,0.0167470237062758
tracker,12,0.947503632886243,0.779318580549772,0.94022254702217,0.1175,5.54049243630289,0.0255878709496238
esc,11,0.944997661561136,0.775041602976924,0.947364796210075,0.0916666666666667,5.82036767667763,0
esc,12,0.939799879771499,0.762599035697471,0.927515504557588,0.0722222222222222,6.40563182910147,0
spsa,11,0.942406733059558,0.76768314922413,0.943821497870058,0.0666666666666667,6.11129620789777,0.188487553983473
spsa,12,0.942641539027401,0.772227268563454,0.947836478313992,0.0827777777777778,6.0848645638702,0.189752195406772
bayes,11,0.909474227683144,0.744209501022702,0.912685735048213,0.0783333333333333,9.95363799889831,1.94443518518519
bayes,12,0.911886098143157,0.745622697033945,0.916709937652332,0.0733333333333333,9.6628188582177,2.20357407407407
qnewton,11,0.939178992110526,0.767096780873695,0.942431690135515,0.0738888888888889,6.47597618775494,0.315208556168284
qnewton,12,0.941666578888429,0.768563787763618,0.942990549953565,0.0741666666666667,6.19470016451357,0.293090764015158
gtrack,11,0.933556082408726,0.769539818106131,0.946983700783671,0.0933333333333333,7.11729255941844,0.00276744474743761
gtrack,12,0.932280510057351,0.771314998756992,0.955952849464761,0.0919444444444444,7.26385344454787,0.00458148119769129
est,11,0.938500297857619,0.759383630307716,0.930815308300061,0.0544444444444444,6.55297630515102,0.026751142362809
est,12,0.937726784401417,0.759357675830665,0.937017982470226,0.0469444444444444,6.64086988176772,0.0316549319584055
known,11,0.998470059771831,0.986337760710146,0.998120213858545,0.938333333333333,0.153228453191521,0.000467755615805662
known,12,0.998470059771831,0.986337760710146,0.998120213858545,0.938333333333333,0.153228453191521,0.000467755615805662
known,11,0.998470059771831,0.986337760710146,0.998120213858545,0.938333333333333,0.153228453191521,0.000467755615805662
known,12,0.998470059771831,0.986337760710146,0.998120213858545,0.938333333333333,0.153228453191521,0.000467755615805662
