Policy,Seed,MOE_energy,MOE_overall,MOE_instant,MOE_avail,EnergyExcessPercent,FinalErr,MeanTrackLag,MaxAccelUsed,SettleQueryRatio,HoldFraction,Steps
openloop,11,0.950935508331506,0.784052038773822,0.965280948693562,0.095,5.15960243766501,1.85149403208472,0,0,0,1,400
openloop,12,0.950935508331506,0.784052038773822,0.965280948693562,0.095,5.15960243766501,1.85149403208472,0,0,0,1,400
openloop,13,0.950935508331506,0.784052038773822,0.965280948693562,0.095,5.15960243766501,1.85149403208472,0,0,0,1,400
openloop,14,0.950935508331506,0.784052038773822,0.965280948693562,0.095,5.15960243766501,1.85149403208472,0,0,0,1,400
openloop,15,0.950935508331506,0.784052038773822,0.965280948693562,0.095,5.15960243766501,1.85149403208472,0,0,0,1,400
openloop,16,0.950935508331506,0.784052038773822,0.965280948693562,0.095,5.15960243766501,1.85149403208472,0,0,0,1,400
openloop,17,0.950935508331506,0.784052038773822,0.965280948693562,0.095,5.15960243766501,1.85149403208472,0,0,0,1,400
openloop,18,0.950935508331506,0.784052038773822,0.965280948693562,0.095,5.15960243766501,1.85149403208472,0,0,0,1,400
openloop,19,0.950935508331506,0.784052038773822,0.965280948693562,0.095,5.15960243766501,1.85149403208472,0,0,0,1,400
openloop,20,0.950935508331506,0.784052038773822,0.965280948693562,0.095,5.15960243766501,1.85149403208472,0,0,0,1,400
tracker,11,0.951166172923312,0.776464979744052,0.936272977607988,0.1,5.13410048284232,5.77021515677464,0.0518809569639768,2,0.096234309623431,0.4025,400
tracker,12,0.949086582478435,0.784130840815395,0.943625165253923,0.1325,5.36446499839984,0.312172242238685,0.0536215421511898,2,0.0882352941176471,0.405,400
tracker,13,0.933821287472492,0.760502765887249,0.925307073836679,0.08,7.0868712691943,6.91141707728841,0.0413270787266017,2,0.079295154185022,0.4325,400
tracker,14,0.948879967117028,0.797093399114981,0.950511385188222,0.1875,5.38740774961128,6.06974589852418,0.0275397496820454,2,0.0542986425339367,0.4475,400
tracker,15,0.942272376509482,0.759669362751701,0.923443914989865,0.0575,6.12642638473195,8.38889029791647,0.0306036944380859,2,0.0614035087719298,0.43,400
tracker,16,0.941574989378754,0.764845141683119,0.926858823312473,0.08,6.20503000613835,8.15822044383948,0.0284817152423067,2,0.0526315789473684,0.43,400
tracker,17,0.944691866633177,0.769654590726331,0.946028858032475,0.0675,5.85462152478755,2.63743747698619,0.0309755682941442,2,0.0619469026548673,0.435,400
tracker,18,0.944663108390572,0.780912406450764,0.940269507518261,0.1325,5.85784404174577,4.36412936717933,0.0419497306243614,2,0.0708333333333333,0.4,400
tracker,19,0.938656941650711,0.757773175491314,0.918149015553193,0.065,6.53519466243031,0.756017062056088,0.0301233745131634,2,0.0565217391304348,0.425,400
tracker,20,0.952628388680626,0.801681721114643,0.969558422581098,0.1725,4.97272723364693,2.67214949207355,0.0432851246566867,2,0.075,0.4,400
esc,11,0.945717031988085,0.782521430184722,0.960543047302266,0.1075,5.73987420928666,2.72618721231404,0,2,0,0,400
esc,12,0.940423515569456,0.760455208210494,0.934144834752552,0.05,6.33506961961371,4.79124192546021,0,2,0,0,400
esc,13,0.944126840217777,0.777894826532556,0.95610468807889,0.095,5.91797175995278,1.37748552387789,0,2,0,0,400
esc,14,0.927045581071856,0.741988098747654,0.926551027372421,0.0025,7.86956115402588,4.49221579357825,0,2,0,0,400
esc,15,0.94420551316881,0.779291174244943,0.955628058868461,0.1025,5.9091464784971,3.58059927474944,0,2,0,0,400
esc,16,0.936959750001001,0.765062261389144,0.921941287962146,0.1,6.72817055363706,3.05276489643626,0,2,0,0,400
esc,17,0.949219186294783,0.794785646502894,0.972253511185007,0.1425,5.34974581618356,3.46562819992142,0,2,0,0,400
esc,18,0.943237170849252,0.781839802886635,0.929070724873364,0.1575,6.01787449699862,4.20990990735202,0,2,0,0,400
esc,19,0.935156633651054,0.75621880958495,0.928801642531411,0.05,6.93395780082141,3.82844879353233,0,2,0,0,400
esc,20,0.941607636638216,0.770942472566276,0.948795514157226,0.0775,6.20134768344278,2.97317126912662,0,2,0,0,400
spsa,11,0.940398357102533,0.760676816302835,0.933258792505228,0.0525,6.33791440056387,5.2239831411104,0.194249193942668,2,0.5,0.6,400
spsa,12,0.940186981748531,0.768811420632892,0.940726432528755,0.0825,6.36182157513289,4.72119907962792,0.1918964262234,2,0.5,0.6,400
spsa,13,0.940788622113925,0.763242574182103,0.926160877083802,0.075,6.29380250720174,3.14312222960496,0.186936227699989,2,0.5,0.6,400
spsa,14,0.941965350374867,0.769685068883616,0.945674645653941,0.075,6.16101745165435,3.50925830237411,0.186321503054656,2,0.5,0.6,400
spsa,15,0.945741667244463,0.791362308951829,0.971638251098659,0.135,5.73711983248297,3.39963905025221,0.190044540938824,2,0.5,0.6,400
spsa,16,0.938786363647751,0.765553554567992,0.938867909147055,0.0725,6.52050761734517,3.04157835290077,0.190474428587363,2,0.5,0.6,400
spsa,17,0.945892592397187,0.775683759921099,0.959124879075018,0.075,5.72024858189108,4.18788619048963,0.189077829578057,2,0.5,0.6,400
spsa,18,0.943531581758257,0.776491760964677,0.95908656695183,0.085,5.98479365539782,1.6747908018371,0.187919321337901,2,0.5,0.6,400
spsa,19,0.939005313503054,0.757733743295667,0.915770288480466,0.0675,6.4956700052526,7.13075146931424,0.187188007320301,2,0.5,0.6,400
spsa,20,0.939959655648873,0.766217093245189,0.939124218069174,0.0725,6.38754482602555,5.30337709794049,0.194339882216764,2,0.5,0.6,400
bayes,11,0.917951550621982,0.76688691219746,0.938037122954897,0.1325,8.93821131653673,1.99814411367715,1.71183333333334,2,0.458333333333333,0.46,400
bayes,12,0.918753289720575,0.75867215308785,0.949318360758541,0.0725,8.84314768594023,2.78318606892669,2.15175,2,0.502242152466368,0.4425,400
bayes,13,0.899733025736174,0.72222540622116,0.892862977843576,0.0225,11.144080676797,1.06329314524877,2.75041666666667,2,0.605042016806723,0.405,400
bayes,14,0.895769233480277,0.730790280050379,0.919685544367468,0.035,11.6358948961399,2.89862399185812,1.943,2,0.537444933920705,0.4325,400
bayes,15,0.916444337600741,0.752262888698624,0.926802399660846,0.08,9.11737450612755,2.49451071843573,1.69925,2,0.468468468468468,0.445,400
bayes,16,0.913472908790191,0.745738692140464,0.920007459151228,0.065,9.47232155186805,9.96030720807613,1.73858333333334,2,0.457399103139013,0.4425,400
bayes,17,0.90625913177193,0.75345569012609,0.942753747467082,0.0875,10.3437157145977,0.479743001599606,1.91116666666667,2,0.537444933920705,0.4325,400
bayes,18,0.919466306313961,0.764818598813283,0.955284818854344,0.0925,8.75874332022999,3.59689150697574,2.04275,2,0.530973451327434,0.435,400
bayes,19,0.914876086195575,0.759362884047292,0.938082803165015,0.1025,9.30442002899041,5.50979365945921,1.92833333333334,2,0.513636363636364,0.45,400
bayes,20,0.911494449813093,0.761939796720758,0.965641906047373,0.0825,9.70993846479872,18.3253303338048,1.78575,2,0.46606334841629,0.4475,400
qnewton,11,0.949941712427626,0.787474792058715,0.960013119483004,0.1225,5.26961674779466,2.62324056465117,0.247397964224957,2,0.354609929078014,0.295,400
qnewton,12,0.94392581848075,0.777105220201324,0.962141036536497,0.0825,5.94052842091997,0.572951816088668,0.248034404040364,2,0.355871886120996,0.2975,400
qnewton,13,0.941858892000659,0.769897819742077,0.93322791247249,0.095,6.17301683863069,2.96037933008054,0.351013773649121,2,0.5,0.29,400
qnewton,14,0.940991489708595,0.767251315213965,0.932518567865558,0.085,6.27088671223571,7.17641324079434,0.218285205996431,2,0.328621908127208,0.2925,400
qnewton,15,0.930036337841475,0.759703308082277,0.947283797205133,0.0525,7.52268049234554,4.05128803195544,0.252151907626199,2,0.364285714285714,0.3,400
qnewton,16,0.942693619972834,0.779573572613277,0.964089208756199,0.095,6.07900369887061,2.67136394400101,0.251571110705297,2,0.357142857142857,0.3,400
qnewton,17,0.940800776576559,0.768465406647781,0.936883394531672,0.085,6.29242926848539,1.60701472339237,0.298393131917177,2,0.429577464788732,0.29,400
qnewton,18,0.933053313196315,0.757533231384692,0.938355249288448,0.0475,7.17501195878602,6.08085299285024,0.357747287930256,2,0.5,0.285,400
qnewton,19,0.941500176071849,0.766366646224106,0.93538852729394,0.075,6.21346924991835,4.87940907340494,0.334651476753782,2,0.493055555555556,0.28,400
qnewton,20,0.942283762863435,0.774344298284938,0.949008056177402,0.0925,6.12514397586304,1.70374615706715,0.348510984107702,2,0.5,0.28,400
gtrack,11,0.943670803219739,0.770895283226468,0.945199605388661,0.0775,5.96915752697545,1.59815253238079,0.00228034053096345,2,0.012531328320802,0.0025,400
gtrack,12,0.935828946894618,0.757685627986398,0.925903848463629,0.06,6.85713487687278,7.39063769763954,0.00939326462035534,2,0.0300751879699248,0.0025,400
gtrack,13,0.930695742585624,0.773814932100585,0.951556869359243,0.115,7.44649988640079,1.08545135683455,0.00759329446780957,2,0.0350877192982456,0.0025,400
