Algorithm,Scenario,Seed,TailErr,FinalErr,RegretPercent,MOE_energy,EnergyExcessPercent,TSearchOrRecovery,SearchSteps,BudgetUtilization,EnergyOn,MOENoWind
ea_multistart,static_wind,11,0.260962774660626,0.63573405391708,1.65915043088917,0.944773127563198,5.84551685749638,142,203,1,1,NaN
ea_multistart,static_wind,12,0.39340267650694,0.0306592700634463,2.19566942339545,0.955158491177482,4.69466682615564,82,183,1,1,NaN
ea_multistart,static_wind,13,0.226854787346333,0.508840357132773,1.46734333139799,0.946160327563756,5.69033290318505,140,203,1,1,NaN
ea_multistart,static_wind,14,0.219826822432766,0.526229630490128,1.48546635589389,0.928651524587365,7.68301925141816,82,252,1,1,NaN
ea_multistart,static_wind,15,0.251361351456991,0.603104787521607,1.60212182693408,0.944739559405152,5.84927772365568,140,203,1,1,NaN
ea_multistart,static_wind,16,0.235037095614923,0.405213759884615,1.45001397877026,0.958580398387769,4.32093141920011,97,183,1,1,NaN
ea_multistart,static_wind,17,0.284945436644285,0.203819739405092,1.71205704803379,0.957587802081534,4.42906622518309,82,183,1,1,NaN
ea_multistart,static_wind,18,0.254899631521367,0.647617471636257,1.57660411946046,0.925508848127328,8.04866987748385,211,252,1,1,NaN
ea_multistart,static_wind,19,0.221920280389284,0.436269647891073,1.44033632331436,0.95856296287322,4.32282893578273,97,183,1,1,NaN
ea_multistart,static_wind,20,0.654539571646564,1.04867421370361,2.92417701259316,0.945490061210585,5.7652577246155,357,183,1,1,NaN
ea_multistart,static_wind,21,0.218251220090045,0.397583670648775,1.4443526300486,0.958896563578548,4.28653495931365,97,183,1,1,NaN
ea_multistart,static_wind,22,0.203843448053999,0.524038922806631,0.426759380248595,0.957651870166778,4.4220797925082,117,183,1,1,NaN
ea_multistart,static_wind,23,0.19968385599919,0.489390688348201,1.42811888827705,0.945951835983591,5.71362747662622,142,203,1,1,NaN
ea_multistart,static_wind,24,0.264673040125064,0.229328385347425,1.62863400713346,0.957964850955346,4.38796360876225,82,183,1,1,NaN
ea_multistart,static_wind,25,0.22576629379803,0.431673959243676,1.44170618349749,0.929217930747772,7.61738090818662,211,252,1,1,NaN
ea_multistart,static_wind,26,0.24893488119044,0.299579150174526,1.54435221894742,0.958321106020747,4.34915747106072,82,183,1,1,NaN
ea_multistart,static_wind,27,0.226177728256171,0.368194473388753,1.46444650133939,0.958665631805385,4.31165641317223,97,183,1,1,NaN
ea_multistart,static_wind,28,0.222062681721446,0.349373976490361,1.43835210284468,0.959261736909285,4.24683499020532,82,183,1,1,NaN
ea_multistart,static_wind,29,0.22321834389438,0.390520794874302,1.45301940533724,0.958534600250475,4.32591580300701,97,183,1,1,NaN
ea_multistart,static_wind,30,0.210781357989238,0.464062572135964,1.44019806934647,0.926594176840812,7.92211142632719,82,252,1,1,NaN
multistart,static_wind,11,1.92144695502766,1.48320161614566,4.87453538189802,0.927413141684981,7.82680933150667,19,261,1,1,NaN
multistart,static_wind,12,4.31645744040858,3.87821210152658,9.54872841302487,0.906601471541901,10.3020490689533,19,205,1,1,NaN
multistart,static_wind,13,2.04864470033388,1.61039936145188,5.31579512814966,0.927719919498315,7.79115323305468,19,233,1,1,NaN
multistart,static_wind,14,3.27648026015096,2.83823492126896,9.77656162762485,0.902895164493068,10.7548295002168,19,233,1,1,NaN
multistart,static_wind,15,1.93481472666866,1.49656938778666,4.91418922630096,0.928419699434803,7.70990755676268,19,261,1,1,NaN
multistart,static_wind,16,2.36785653005166,1.92961119116967,6.9410544540703,0.922364456993028,8.41701373230157,19,233,1,1,NaN
multistart,static_wind,17,2.45459784396414,2.01635250508214,7.44651530472331,0.918999325760685,8.81400801597625,19,233,1,1,NaN
multistart,static_wind,18,4.47619294328337,4.03794760440137,10.0830725514787,0.904551372312163,10.5520405594938,19,177,1,1,NaN
multistart,static_wind,19,1.71608772694506,1.27784238806306,4.4550100893906,0.931690366001757,7.33179567922189,19,233,1,1,NaN
multistart,static_wind,20,1.91243740311495,1.47419206423296,4.84870406435321,0.925829022488489,8.01130399997076,19,233,1,1,NaN
multistart,static_wind,21,4.43178202311188,3.99353668422989,9.9287807683399,0.906273512581701,10.3419647730077,19,205,1,1,NaN
multistart,static_wind,22,1.99091366212503,1.55266832324303,5.09791065054621,0.929592602185072,7.57400582248936,19,205,1,1,NaN
multistart,static_wind,23,4.6422977330808,4.2040523941988,10.6486379939921,0.901814038020852,10.8876062957092,19,205,1,1,NaN
