Policy,Seed,MeanPowerW,EnergyWh,EnduranceHours,MinimumGroundSpeed,MaximumGroundSpeed,RateViolations,BoundViolations,BlockedFraction,RadialRms,PowerCoverage,WindMode,WindObservation
baseline,5012,490.672835,16.355761,0.305703,6.300000,6.300000,0,0,0.000000,0.000000,1.000000,irregular,hidden
scripted,5012,490.672835,16.355761,0.305703,6.300000,6.300000,0,0,0.000000,0.000000,1.000000,irregular,hidden
td3_agent,5012,501.890517,16.729684,0.298870,3.300000,6.224521,0,0,0.000000,0.000000,1.000000,irregular,hidden
fixed,5013,486.245040,16.208168,0.308486,6.300000,6.300000,0,0,0.000000,0.000000,1.000000,irregular,hidden
baseline,5013,486.245040,16.208168,0.308486,6.300000,6.300000,0,0,0.000000,0.000000,1.000000,irregular,hidden
scripted,5013,486.245040,16.208168,0.308486,6.300000,6.300000,0,0,0.000000,0.000000,1.000000,irregular,hidden
td3_agent,5013,508.612722,16.953757,0.294920,3.300000,6.224521,0,0,0.000000,0.000000,1.000000,irregular,hidden
fixed,5014,481.390015,16.046334,0.311598,6.300000,6.300000,0,0,0.000000,0.000000,1.000000,irregular,hidden
baseline,5014,481.390015,16.046334,0.311598,6.300000,6.300000,0,0,0.000000,0.000000,1.000000,irregular,hidden
scripted,5014,481.390015,16.046334,0.311598,6.300000,6.300000,0,0,0.000000,0.000000,1.000000,irregular,hidden
td3_agent,5014,515.157283,17.171909,0.291173,3.300000,6.224521,0,0,0.000000,0.000000,1.000000,irregular,hidden
fixed,5015,483.714012,16.123800,0.310101,6.300000,6.300000,0,0,0.000000,0.000000,1.000000,irregular,hidden
baseline,5015,483.714012,16.123800,0.310101,6.300000,6.300000,0,0,0.000000,0.000000,1.000000,irregular,hidden
scripted,5015,483.714012,16.123800,0.310101,6.300000,6.300000,0,0,0.000000,0.000000,1.000000,irregular,hidden
td3_agent,5015,509.409494,16.980316,0.294459,3.300000,6.224521,0,0,0.000000,0.000000,1.000000,irregular,hidden
fixed,5016,480.539746,16.017992,0.312149,6.300000,6.300000,0,0,0.000000,0.000000,1.000000,irregular,hidden
baseline,5016,480.539746,16.017992,0.312149,6.300000,6.300000,0,0,0.000000,0.000000,1.000000,irregular,hidden
scripted,5016,480.539746,16.017992,0.312149,6.300000,6.300000,0,0,0.000000,0.000000,1.000000,irregular,hidden
td3_agent,5016,509.394340,16.979811,0.294467,3.300000,6.224521,0,0,0.000000,0.000000,1.000000,irregular,hidden
fixed,5017,482.280384,16.076013,0.311022,6.300000,6.300000,0,0,0.000000,0.000000,1.000000,irregular,hidden
baseline,5017,482.280384,16.076013,0.311022,6.300000,6.300000,0,0,0.000000,0.000000,1.000000,irregular,hidden
scripted,5017,482.280384,16.076013,0.311022,6.300000,6.300000,0,0,0.000000,0.000000,1.000000,irregular,hidden
td3_agent,5017,514.521706,17.150724,0.291533,3.300000,6.224521,0,0,0.000000,0.000000,1.000000,irregular,hidden
fixed,5018,478.207229,15.940241,0.313672,6.300000,6.300000,0,0,0.000000,0.000000,1.000000,irregular,hidden
baseline,5018,478.207229,15.940241,0.313672,6.300000,6.300000,0,0,0.000000,0.000000,1.000000,irregular,hidden
scripted,5018,478.207229,15.940241,0.313672,6.300000,6.300000,0,0,0.000000,0.000000,1.000000,irregular,hidden
td3_agent,5018,499.645867,16.654862,0.300213,3.300000,6.224521,0,0,0.000000,0.000000,1.000000,irregular,hidden
fixed,5019,486.961499,16.232050,0.308033,6.300000,6.300000,0,0,0.000000,0.000000,1.000000,irregular,hidden
baseline,5019,486.961499,16.232050,0.308033,6.300000,6.300000,0,0,0.000000,0.000000,1.000000,irregular,hidden
scripted,5019,486.961499,16.232050,0.308033,6.300000,6.300000,0,0,0.000000,0.000000,1.000000,irregular,hidden
td3_agent,5019,503.545950,16.784865,0.297887,3.300000,6.224521,0,0,0.000000,0.000000,1.000000,irregular,hidden
fixed,5020,481.707786,16.056926,0.311392,6.300000,6.300000,0,0,0.000000,0.000000,1.000000,irregular,hidden
baseline,5020,481.707786,16.056926,0.311392,6.300000,6.300000,0,0,0.000000,0.000000,1.000000,irregular,hidden
scripted,5020,481.707786,16.056926,0.311392,6.300000,6.300000,0,0,0.000000,0.000000,1.000000,irregular,hidden
td3_agent,5020,508.572889,16.952430,0.294943,3.300000,6.224521,0,0,0.000000,0.000000,1.000000,irregular,hidden
