Algorithm,Seed,MOE_energy,EnergyExcessPercent,EactualNorm
ea_multistart,11,0.978034662563825,2.24586492452062,3565.98384470004
ea_multistart,12,0.968649872199971,3.23647673940506,3600.53297517934
ea_multistart,13,0.978567605668247,2.19018023973081,3564.04175455777
tracker,11,0.984803081357916,1.54314288102446,3541.47531854818
tracker,12,0.98331351440015,1.69696494103711,3546.84010255552
tracker,13,0.983894703555585,1.63689227985618,3544.74497489987
esc,11,0.958861284952123,4.2903718914808,3637.2892106426
esc,12,0.96043636030523,4.11934005520125,3631.32420887404
esc,13,0.961064741301078,4.05126283648823,3628.94990980286
