v_ref,v_steady_B,P_B_W,P_A_W,relDiff_pct,Vmean,pitchDeg_B,loadFactorMean
2,1.99655598997769,532.093304476532,532.044899669387,0.00909788011772281,28.9980155380065,-0.435899860761649,1.00015144373121
4,3.9926272284949,482.991517332467,482.770256362126,0.0458315249179745,29.0354378903625,-1.72710242817108,1.00127476421168
5,4.99177943775379,472.019978186338,471.68901207036,0.0701661704023421,29.043820844542,-2.6909261941472,1.00254782779755
6,5.99394685703482,470.639005738544,470.185007401684,0.0965573826714907,29.0449297754293,-3.86417160673485,1.00449016045092
8,8.02294470816813,499.695770932314,498.824223676141,0.174720315254482,29.0230124690281,-6.83013773020335,1.01093888480307
10,10.1414787328047,581.543246112925,579.457296965464,0.359983239211029,28.9610210280269,-10.6253750065708,1.02164111543681
