run,mode,center0,cleanFrac,etaTrk,Pmean_W,Eclean_J,convT_s,trips,ok
E1_fixed,fixed,0.8,0.719495932791039,0.00108695652173929,254.979389522666,7647.84855513089,NaN,0,1
E2_fixed,fixed,1,0.71956260834778,0,251.000791096546,7528.514725572,NaN,0,1
E3_fixed,fixed,1.2,0.719495932791039,0.00132762313514976,253.459003372601,7602.24621340956,NaN,0,1
S1_esc,esc,0.8,0.720429390585411,0.000814184924783184,252.789568964358,7589.09170753839,24,0,1
S2_esc,esc,1,0.719129217228964,0.00125275995538732,250.281922168499,7508.75240623827,0,0,1
S3_esc,esc,1.2,0.719962661688225,0.000546310303208705,252.582752563177,7580.92896229977,20,0,1
DE2_fixed,fixed,1,0.390085344712628,0,251.000779063151,7419.591330824,NaN,0,1
DS2_esc,esc,1,0.275703427123617,0.000425669168784693,250.493181633732,7385.93436773409,0,0,1
R_esc,esc,1,0.719129217228964,0.00125275995538732,250.281922168499,7508.75240623827,0,0,1
