pair,P_fixed_W,P_esc_W,E_fixed_J,E_esc_J,delta_E_pct,esc_convT_s
T1,251.000855322468,251.000792679132,2510.00855408,2510.007927584,-2.49599149454819e-05,4
T2,251.000852913109,251.00079990721,2510.008529984,2510.007999872,-2.11199282251811e-05,4
T3,251.000845685032,251.000713170283,2510.008457696,2510.007132416,-5.27998221016998e-05,8
DT2,251.000561681829,251.000886041793,2510.005615874,2510.008861304,0.000129299710718123,4
