pair,P_fixed_W,P_esc_W,delta_E_pct,esc_convT_s
S1,251.00079990721,251.929747243678,0.370100584595375,24
S2,251.00079990721,250.284759623729,-0.285272691578916,0
S3,251.00079990721,252.23702296027,0.492518247825803,20
