Console,MOE_energy,MOE_energy_W,FinalErr,RegretPercent,EnergyExcessPercent,TSearchEvals,HoldFraction,BudgetUtilization
fixed,0.999999999999993,0.999999999999993,0,0,6.79976485107434e-13,1,1,1
multistart,0.991242022384445,0.991242022384445,0.233142050057729,0.402995077312017,0.883535747857796,19,0.935277777777778,1
grid,0.990518013299907,0.990518013299907,0.125,0.118895823979384,0.957275543985749,162,0.955277777777778,1
esc,0.981863439209572,0.981863439209572,0.308231099836751,1.56062883024581,1.8471571571122,86,0,1
single_golden,0.922622297244592,0.922622297244592,3.92530214960982,8.38593145036941,8.38671501723899,NaN,0.996388888888889,1
