mode,seed,MOE_energy,excessPercent,rmsVErr,tailRegretPercent,windEstErr,meanV
known,11,1,0,0,0,1.68215999281477,5.68297077259365
known,12,1,0,0,0,1.68272857468373,5.68297077259365
known,13,1,0,0,0,1.68261626529385,5.68297077259365
online,11,0.976717036777225,2.38379820829169,1.85182315029791,1.35882715871657,2.22039596630477,5.83298108353677
online,12,0.971735004539911,2.90871434372908,2.37424091439216,4.37194297646,3.93792783818093,5.22084081405804
online,13,0.973606195887746,2.7109322253427,2.34850054811891,4.37575826532664,3.98527062539575,5.09656037276767
blind,11,0.938335515347238,6.57168823349317,2.80470277033269,3.69645803176765,2.29410538556989,6.67333333333336
blind,12,0.938335515347238,6.57168823349317,2.80470277033269,3.69645803176765,2.29276924382601,6.67333333333336
blind,13,0.938335515347238,6.57168823349317,2.80470277033269,3.69645803176765,2.28815394612409,6.67333333333336
uniform,11,0.963871809034395,3.74823608564698,4.49520542586059,4.12801002686855,8.6002635555896,2
uniform,12,0.963871809034395,3.74823608564698,4.49520542586059,4.12801002686855,8.59610379375872,2
uniform,13,0.963871809034395,3.74823608564698,4.49520542586059,4.12801002686855,3.56931559406456,2
fixed,11,0.949103256306144,5.36261395751011,2.65015531174704,2.94527395366653,1.89126076439284,6.3000000000001
fixed,12,0.949103256306144,5.36261395751011,2.65015531174704,2.94527395366653,1.89956099287749,6.3000000000001
fixed,13,0.949103256306144,5.36261395751011,2.65015531174704,2.94527395366653,1.88278148356899,6.3000000000001
