windMode,rateMax,analytic,dp,relDiff,vUniform,uniformExcess
const,Inf,0.913,0.913003026924532,3.31536093357792e-06,4.97510371010761,0.0245971904808002
const,0.6,0.913,0.913003026924532,3.31536093357792e-06,4.97510371010761,0.0245971904808002
sin,Inf,0.913,0.913002656014259,2.90910652668307e-06,4.66920873188669,0.0280925210779491
sin,0.6,0.913,0.913002656014259,2.90910652668307e-06,4.66920873188669,0.0280925210779491
dual,Inf,0.913465919815042,0.913468506008621,2.83118781198746e-06,2.00000003493688,0.0464456748092823
dual,0.6,0.913465919815042,0.913548208701954,9.0084244115682e-05,2.00000003493688,0.0464456748092823
