omega,window,excessPercent,rmsVErr,windEstErr,MOE
0.02,20,2.90594968451833,2.80736922690764,10.931111773052,0.971761111058912
0.02,30,3.60298500393624,3.25219665361598,0.667099050418293,0.965223154489233
0.02,45,0.539767167819391,0.890264589782179,0.857158199801774,0.994631306765228
0.02,60,0.621699954400503,0.971357635284964,1.08574937855678,0.993821412730234
0.02,90,1.45087836489173,1.4212564060262,1.38221511830573,0.98569871066396
0.02,130,1.47637670903353,1.43128300994153,1.49591688554441,0.985451030506669
0.05,20,5.10431739796297,3.69698967399937,10.3671988813245,0.951435701935667
0.05,30,5.6215907781447,3.91776106204675,10.0283391262328,0.946776120897926
0.05,45,6.98001539806422,4.50187260650114,10.5343017464258,0.934754025113082
0.05,60,6.58452524847609,4.47553176164133,10.4966861435092,0.938222502439957
0.05,90,3.99582183511841,2.4116482257383,2.8954844303261,0.961577092573453
0.05,130,2.0448581440566,1.80132097194286,2.04056591266924,0.979961183921978
0.08,20,6.29908530712487,3.71769115523202,10.1085293519573,0.940741867261367
0.08,30,6.70254050796524,3.80790680481302,10.4581541690842,0.93718480857103
0.08,45,8.11424535491228,4.08362707287213,10.4949794271557,0.924947491162934
0.08,60,8.58630009906425,4.22045726522254,10.4832832383698,0.920926488044708
0.08,90,1.56438983941453,1.39974477607931,1.8987042603802,0.984597063578209
0.08,130,2.08257707736473,1.64967317230431,2.02953599527791,0.979599093821991
0.12,20,7.13681422720835,4.58666778382012,10.6511500925676,0.933385976812106
0.12,30,6.4675297018385,4.5409690463826,10.1530054876231,0.939253500856545
0.12,45,2.54367058821243,2.22400682164422,2.03283899427795,0.975194270171709
0.12,60,1.70678836954137,1.85569663329112,1.7085558075521,0.983218540306868
0.12,90,2.4049035066606,1.88673932992103,1.91917084284897,0.976515738755575
0.12,130,2.38388639232716,1.99701923217146,2.71189394931735,0.976716195523265
0.2,20,6.38252539316664,4.39812520562844,10.2967196541903,0.940004005643049
0.2,30,5.71903666689896,4.537795333888,10.1752926160007,0.945903435680004
0.2,45,7.11436265373238,4.68289559670384,10.4660389921195,0.933581618025111
0.2,60,6.83371339014546,4.66346077400714,10.4247677267374,0.936034111580588
0.2,90,6.69759713150659,4.65406307073766,10.4263270318725,0.937228229017644
0.2,130,6.69816119731773,4.64800191141094,10.4193083974169,0.937223274308066
0.35,20,7.55758183373072,4.69673696289375,8.90872560714564,0.929734550508827
0.35,30,6.72566441785232,4.62015977457864,9.73307007480452,0.936981751722622
0.35,45,6.96922376454863,4.66049075373087,10.6122888326814,0.934848328151949
0.35,60,6.58542518304775,4.63343000133282,10.4122062775731,0.938214580729607
0.35,90,6.71594387934657,4.65690579133002,10.2475379085367,0.937067099486656
0.35,130,6.72750392832118,4.66074443579736,10.3028650067361,0.93696560229836
0.6,20,4.11189451339891,3.74442537355408,5.92777317042103,0.960505045723957
0.6,30,4.90618352550677,3.73384082112575,10.2123539924877,0.953232656449523
0.6,45,4.56514164410334,3.68094133964012,10.5341968263127,0.956341649116288
0.6,60,5.91122081802986,4.21861071301889,10.4590074502594,0.944187020295176
0.6,90,1.82751880460276,1.60584857270129,2.04315930049289,0.982052800401534
0.6,130,1.33753976380415,1.369970213897,1.38536023934245,0.986801142331641
