WindKind,Policy,MOE_energy,EnergyExcessPercent,TailRegretPercent,ExcessStd,MuProfileAmp,Steps
zero,openloop,1,0,0,0,NaN,1200
zero,sweepcal,0.98063942999818,1.97431523028204,0.221231164574039,0.0845364818865797,NaN,1200
zero,rl,0.970925240537764,2.99472799959069,1.99405564417655,0.195991577593237,NaN,1200
zero,purerl,0.979636296558401,2.07870388680791,1.81977715763306,0.0267483373138707,1.13438364739109,1200
zero,known,1,0,0,0,NaN,1200
const,openloop,0.939830540508048,6.40216048516851,6.69028021474883,0,NaN,1200
const,sweepcal,0.984217107025197,1.60484370163061,1.97145618816218,0.502982513284883,NaN,1200
const,rl,0.978845941143345,2.16116978761611,0.54337842124562,0.0984030500610902,NaN,1200
const,purerl,0.964999573053609,3.62711077727193,1.78934564234509,0.158963250233413,6.33328436445042,1200
const,known,0.998894727763255,0.110649521518679,0.113329120453634,0,NaN,1200
vary,openloop,0.954966922520952,4.71568096646749,4.19158399634792,0.0504208601069591,NaN,1200
vary,sweepcal,0.951891686068064,5.06705533992131,4.23234271538611,1.65825681400644,NaN,1200
vary,rl,0.96890723723319,3.2092791969544,2.42470513416802,0.215291229895239,NaN,1200
vary,purerl,0.966058431078413,3.51341458045374,3.47530227171725,0.0384121587533055,3.93774688842389,1200
vary,known,0.996986292000801,0.302281807196048,0.225539651753252,0.00191237318752099,NaN,1200
