Algorithm,Scenario,Seed,FinalErr,RegretPercent,MOE_energy,EnergyExcessPercent,TSearchOrRecovery,SearchSteps,BudgetUtilization,EnergyOn
ea_multistart,static,11,0.196247104651738,0.288591515125703,0.967859697488374,3.32076049814154,82,117,1,1
ea_multistart,static,12,0.296902724608088,0.638894208292114,0.96594333525711,3.52574146948537,82,117,1,1
ea_multistart,static,13,0.0475311616744118,0.574512071919644,0.947941175344543,5.49177797203876,82,208,1,1
ea_multistart,static,14,0.236637430589733,0.414711994058703,0.966968565252018,3.4159781336194,82,117,1,1
ea_multistart,static,15,0.0355405688990809,0.0097046184897781,0.970525027550315,3.03701312310127,82,117,1,1
ea_multistart,static,16,0.135865984433787,0.140198143443168,0.969532633947888,3.14247968405668,82,117,1,1
ea_multistart,static,17,0.00262038327804781,5.27989386166501e-05,0.970703844582266,3.01803228463995,82,117,1,1
ea_multistart,static,18,0.00107908245616617,8.95378119473687e-06,0.96994602561317,3.09852028805737,82,117,1,1
ea_multistart,static,19,0.120055835170274,0.109765554989795,0.947102625434485,5.58517874884447,82,208,1,1
ea_multistart,static,20,0.0804867832769824,0.0495975331265085,0.970325960221934,3.05815169278565,82,117,1,1
ea_multistart,static,21,0.161328268621695,0.196669443887334,0.969280990524794,3.16925739548177,82,117,1,1
ea_multistart,static,22,0.142649808993744,0.154352156577514,0.969407953025936,3.15574540920295,82,117,1,1
ea_multistart,static,23,0.1438647432922,0.156955899332354,0.969562056586209,3.1393496895869,82,117,1,1
ea_multistart,static,24,0.178901406226838,0.240880209054809,0.968126667542883,3.29226882449292,82,117,1,1
ea_multistart,static,25,0.166666666666667,14.2576270344931,0.948459828675608,5.43409111974315,82,188,1,1
ea_multistart,static,26,0.0909592595445643,0.0632676671207285,0.970129838386896,3.0789859698338,82,117,1,1
ea_multistart,static,27,0.135401476974131,0.139252915499506,0.969317516767312,3.16536972683776,82,117,1,1
ea_multistart,static,28,0.0523372319423929,0.0210242909963278,0.970269130562212,3.06418791460061,82,117,1,1
ea_multistart,static,29,0.218534045089944,0.355648088418171,0.967989855313246,3.30686778493106,82,117,1,1
ea_multistart,static,30,0.00368713810054455,0.000104537570490963,0.970261767308596,3.0649700620375,82,117,1,1
multistart,static,11,0.172874851673628,0.225244957018362,0.955819416054842,4.62227312011653,19,233,1,1
multistart,static,12,0.197712996567986,0.292805444672931,0.950904697708556,5.16300975373782,19,233,1,1
multistart,static,13,0.172178830573875,0.22347087602352,0.953283235957182,4.9006173905817,19,261,1,1
multistart,static,14,0.0485882851068933,0.0181247986671634,0.95702835165638,4.4901123638863,19,233,1,1
multistart,static,15,0.0959267174492595,0.0703228973538301,0.956583189674209,4.53873858483522,19,233,1,1
multistart,static,16,0.0668840077604731,0.0342956752354442,0.950064450249944,5.25601707725397,19,261,1,1
multistart,static,17,0.104229225148118,0.0829301710111443,0.953763672806382,4.84777608037548,19,261,1,1
multistart,static,18,0.0816554374971492,0.0510417981243854,0.959494231784049,4.22157495836485,19,205,1,1
multistart,static,19,0.0287013432739842,0.00633085127437591,0.949770638945284,5.28857799926262,20,261,1,1
multistart,static,20,0.180778073176294,0.245848972733723,0.948896592771217,5.38556125273224,19,261,1,1
multistart,static,21,0.0937944684251786,0.0672496255401205,0.949603885020712,5.30706705967071,19,261,1,1
multistart,static,22,0.0785828510641053,0.0472884092943705,0.938472758366739,6.55610310312463,19,233,1,1
multistart,static,23,0.0130680358639603,0.00131301128310181,0.949998345838486,5.26334118165037,19,261,1,1
multistart,static,24,0.232856323641978,0.402043843254127,0.95077256446908,5.17762474124492,19,233,1,1
multistart,static,25,0.173517823652114,0.226889664981639,0.937624812672203,6.65246764855013,19,233,1,1
multistart,static,26,0.209229485624077,0.326880012471116,0.951044514637059,5.14754931125637,19,233,1,1
multistart,static,27,0.19916656202801,0.297011599269555,0.944014633551258,5.93056129205677,19,261,1,1
multistart,static,28,0.20392847938243,0.310983105908271,0.947924199952207,5.49366711498857,19,261,1,1
multistart,static,29,0.297522745531195,0.641406547805422,0.947321915534321,5.56073744329734,19,261,1,1
multistart,static,30,0.0175965320801934,0.00238046365852382,0.950057162137068,5.2568245210204,20,261,1,1
tracker,static,11,0.0326557828816156,0.788760820359939,0.991355842428485,0.871953056769211,2,221,1,1
tracker,static,12,0.280794507657244,0.878061171271193,0.99209749058577,0.796545650928327,2,209,1,1
tracker,static,13,0.282967406795444,0.936368030958597,0.990924826460673,0.915828657935706,2,222,1,1
tracker,static,14,0.204000780425446,0.823514303849138,0.99217204902117,0.788971125174631,2,222,1,1
tracker,static,15,0.0158380548544699,0.519349442161655,0.99147386572641,0.859945437628215,2,217,1,1
tracker,static,16,0.0341586242379446,0.749866917226091,0.992176107038553,0.788558896545027,2,220,1,1
tracker,static,17,0.0761532937478862,1.30948275281414,0.989277516466915,1.08387013296119,2,225,1,1
tracker,static,18,0.133541997093101,0.940689409240447,0.991615998667408,0.845488711745171,2,217,1,1
