GammaKind,Policy,MOE_energy,EnergyExcessPercent,TailRegretPercent,ExcessStd,RstarErrMax,Steps
zero,openloop,0.950000000000003,5.26315789473649,5.26315789473685,0,NaN,800
zero,sweepcal,0.980691172851287,1.96889986202079,0.153403408763929,9.19069653988007e-05,0.00368561997100914,800
zero,rl,0.978049298198882,2.24434836186977,0.77077021620085,0.0524546929068354,NaN,800
zero,purerl,0.977714657072096,2.27933746394999,1.33886379776606,0.0392254967204415,NaN,800
zero,hybrid,0.979571731440056,2.08559786156281,0.285527800962674,0.185925912496692,0.0228278173288338,800
zero,known,0.99996128532534,0.00387161735444067,-3.83923897690361e-14,0,NaN,800
const,openloop,0.958070390437954,4.3764643997482,4.3764643997482,0,NaN,800
const,sweepcal,0.981715388911688,1.8625400453638,0.181769609382996,0.0692607768278856,0.00588002563303247,800
const,rl,0.979114006827667,2.13320497467954,0.755349766433308,0.103707087589645,NaN,800
const,purerl,0.981749541609032,1.85899061650539,1.46279611920903,0.0599957406664682,NaN,800
const,hybrid,0.980054357068944,2.03560438185764,0.333731437115625,0.302221357319095,0.0271228689466967,800
const,known,0.999973469429287,0.00265312746028989,-1.21268204718347e-14,0,NaN,800
drift,openloop,0.949522047358994,5.31614343664985,5.45002720867458,0.00549102737149295,NaN,800
drift,sweepcal,0.970010101023602,3.09236641180287,0.964745182346854,0.367897880819132,0.0433963603217088,800
drift,rl,0.96985235690165,3.10854455248186,1.07929163088639,0.117517400916845,NaN,800
drift,purerl,0.975693004474173,2.49125624707892,1.23760122612609,0.0191197418451865,NaN,800
drift,hybrid,0.964204109807489,3.7137310940096,1.99023463445388,0.509307241010992,0.0888629947860663,800
drift,known,0.999801431908448,0.019860752883911,0.0154795005342663,5.82202610273025e-05,NaN,800
