chunk,arm,caliber,excess_pct,moe,margin_pp,delta_excess_pp,delta_margin_pp,bias_meas_pct,rowsN,runtime_s
SMOKE,openloop,true,6.2642733711266034,0.94105005217276827,NaN,0.011648051060644704,NaN,0.16874998514675985,3600,167.59151539999999
SMOKE,openloop,est,6.2759214221872481,0.94094691122690166,NaN,0.011648051060644704,NaN,0.16874998514675985,3600,167.59151539999999
SMOKE,openloop__diff,diff,0.011648051060644704,0.00010314094586660882,NaN,0.011648051060644704,NaN,0.16874998514675985,3600,167.59151539999999
SMOKE,sweepcal,true,3.9242929811199905,0.96223892538934164,2.339980390006613,-0.018263403977490711,0.029911455038135415,0.11780356553942729,3600,160.91091180000001
SMOKE,sweepcal,est,3.9060295771424998,0.96240805665428142,2.3698918450447484,-0.018263403977490711,0.029911455038135415,0.11780356553942729,3600,160.91091180000001
SMOKE,sweepcal__diff,diff,-0.018263403977490711,-0.00016913126493978137,0.029911455038135415,-0.018263403977490711,0.029911455038135415,0.11780356553942729,3600,160.91091180000001
SMOKE,purerl_off,true,0.8476401424889769,0.99159484405097298,5.4166332286376262,-0.025901067539206513,0.037549118599851106,0.16931582857328062,3600,272.87815160000002
SMOKE,purerl_off,est,0.82173907494977039,0.99184958440025617,5.4541823472374773,-0.025901067539206513,0.037549118599851106,0.16931582857328062,3600,272.87815160000002
SMOKE,purerl_off__diff,diff,-0.025901067539206513,-0.000254740349283189,0.037549118599851106,-0.025901067539206513,0.037549118599851106,0.16931582857328062,3600,272.87815160000002
SMOKE,purerl_on,true,0.59556736606448024,0.99407958639074789,5.6687060050621234,-0.028802091325529799,0.040450142386173837,0.1587304083961979,3606,271.38354049999998
SMOKE,purerl_on,est,0.56676527473895044,0.99436428850832981,5.7091561474482972,-0.028802091325529799,0.040450142386173837,0.1587304083961979,3606,271.38354049999998
SMOKE,purerl_on__diff,diff,-0.028802091325529799,-0.00028470211758191422,0.040450142386173837,-0.028802091325529799,0.040450142386173837,0.1587304083961979,3606,271.38354049999998
