CurveCase,Policy,MOE_energy,EnergyExcessPercent,ExcessStd,MaxAccelUsed,Steps,EnergyOn
0.95,openloop,0.953102182237016,4.92054457927176,0,2,400,1
0.95,tracker,0.954470094558363,4.77088742479089,0.305365700072225,2,400,1
0.95,esc,0.953786625675777,4.84594927655785,0.301939247328226,2,400,1
0.95,spsa,0.951327666581191,5.11763684163841,0.425277521253353,2,400,1
0.95,bayes,0.934735828604942,6.98297621852126,0.34272655922971,2,400,1
0.95,qnewton,0.954073525449071,4.81416227523809,0.23919179068235,2,400,1
0.95,gtrack,0.932169503007094,7.30536570782454,1.98169762261905,2,400,1
0.95,est,0.947835062233994,5.50619005147474,0.584843127326293,2,400,1
0.95,known,0.998344033881445,0.165871289090271,0,2,400,1
0.9,openloop,0.944549809260015,5.87054173283104,0,2,400,1
0.9,tracker,0.944290145600759,5.90137657995209,0.477545285306171,2,400,1
0.9,esc,0.944888530633966,5.83615303958724,0.686811047295118,2,400,1
0.9,spsa,0.941707397330887,6.19127324052639,0.395446365593377,2,400,1
0.9,bayes,0.917594513022268,8.981355959948,0.321177537130586,2,400,1
0.9,qnewton,0.940906358378519,6.28204797130216,0.453606810887603,2,400,1
0.9,gtrack,0.918520019081652,8.89368694854863,1.77860127996975,2,400,1
0.9,est,0.935309228460293,6.91807890046816,0.45769090238018,2,400,1
0.9,known,0.998213507762251,0.178968950415642,0,2,400,1
0.85,openloop,0.935171103153827,6.93230325739746,0,2,400,1
0.85,tracker,0.933029816911843,7.18516712777847,1.00186071521221,2,400,1
0.85,esc,0.926925388587731,7.8992818292664,1.45761220934837,2,400,1
0.85,spsa,0.931597765323645,7.34334104501691,0.343152795296558,2,400,1
0.85,bayes,0.905493572884308,10.4377730011634,0.324669776668806,2,400,1
0.85,qnewton,0.925325290236166,8.07325848369051,0.653612386233135,2,400,1
0.85,gtrack,0.907904872366111,10.3488247555922,5.42065515600135,2,400,1
0.85,est,0.91844619965604,8.88989266604603,1.18350153501852,2,400,1
0.85,known,0.998067666013042,0.193607513073493,0,2,400,1
