Var1,Var2,Var3,Var4
0,614.978708716755,1.0125580277247,0.20827771206998
0.05,612.534955997233,1.01255802773033,0.208277712061299
0.1,610.108788499154,1.01255802781481,0.208277711931093
0.15,607.700340390732,1.01255802818088,0.208277711366868
0.2,605.309743410297,1.01255802916647,0.208277709847798
0.25,602.937126868179,1.01255803124465,0.208277706644732
0.3,600.582617650609,1.01255803502366,0.208277700820186
0.35,598.246340225649,1.01255804124694,0.208277691228347
0.4,595.928416651114,1.01255805079304,0.208277676515076
0.45,593.628966584486,1.01255806467572,0.208277655117899
0.5,591.34810729478,1.01255808404389,0.208277625266018
0.55,589.085953676346,1.01255811018163,0.208277584980302
0.6,586.842618264576,1.01255814450817,0.208277532073294
0.65,584.618211253493,1.01255818857793,0.208277464149208
0.7,582.412840515156,1.01255824408047,0.20827737860393
0.75,580.226611620895,1.01255831284054,0.208277272625018
0.8,578.05962786428,1.01255839681802,0.208277143191706
0.85,575.911990285816,1.01255849810798,0.208276987074898
0.9,573.783797699315,1.01255861894064,0.20827680083718
0.95,571.675146719876,1.01255876168138,0.208276580832809
1,569.586131793444,1.01255892883074,0.208276323207725
1.05,567.51684522789,1.01255912302442,0.208276023899548
1.1,565.467377225552,1.01255934703326,0.20827567863758
1.15,563.43781591718,1.01255960376327,0.208275282942812
1.2,561.428247397238,1.01255989625558,0.20827483212792
1.25,559.438755760491,1.0125602276865,0.208274321297278
1.3,557.469423139823,1.01256060136745,0.208273745346952
1.35,555.520329745224,1.01256102074501,0.208273098964714
1.4,553.591553903879,1.01256148940087,0.20827237663004
1.45,551.683172101294,1.01256201105185,0.208271572614122
1.5,549.795259023412,1.0125625895499,0.208270680979869
1.55,547.927887599626,1.01256322888208,0.208269695581919
1.6,546.081129046637,1.01256393317053,0.208268610066644
1.65,544.255052913109,1.01256470667252,0.208267417872162
1.7,542.449727125024,1.01256555378038,0.208266112228345
1.75,540.665218031686,1.01256647902152,0.208264686156829
1.8,538.901590452325,1.01256748705841,0.208263132471029
1.85,537.158907723197,1.01256858268859,0.20826144377615
1.9,535.437231745163,1.01256977084461,0.208259612469203
1.95,533.736623031646,1.01257105659405,0.208257630739018
2,532.057140756916,1.01257244513951,0.208255490566263
2.05,530.398842804653,1.01257394181855,0.208253183723461
2.1,528.761785816707,1.01257555210373,0.208250701775013
2.15,527.146025242011,1.01257728160253,0.208248036077213
2.2,525.551615385575,1.01257913605737,0.208245177778276
2.25,523.97860945752,1.01258112134558,0.208242117818363
2.3,522.42705962208,1.01258324347934,0.208238846929601
2.35,520.897017046533,1.01258550860571,0.208235355636119
2.4,519.388531949992,1.01258792300655,0.208231634254074
2.45,517.901653652022,1.01259049309852,0.208227672891683
2.5,516.436430621019,1.01259322543304,0.208223461449259
2.55,514.992910522312,1.01259612669623,0.208218989619245
2.6,513.571140265943,1.01259920370893,0.208214246886255
2.65,512.171166054074,1.01260246342658,0.208209222527116
2.7,510.793033427982,1.01260591293927,0.208203905610908
2.75,509.436787314609,1.0126095594716,0.208198284999014
2.8,508.102472072613,1.01261341038272,0.208192349345165
2.85,506.790131537903,1.01261747316623,0.208186087095495
2.9,505.499809068607,1.01262175545011,0.208179486488597
2.95,504.231547589443,1.01262626499674,0.208172535555575
3,502.985389635483,1.01263100970276,0.208165222120109
3.05,501.761377395242,1.01263599759904,0.208157533798518
3.1,500.559552753104,1.01264123685065,0.208149457999826
3.15,499.379957331039,1.01264673575673,0.208140981925837
3.2,498.222632529594,1.01265250275045,0.208132092571202
3.25,497.087619568129,1.01265854639894,0.208122776723503
3.3,495.974959524296,1.01266487540321,0.208113020963332
3.35,494.884693372723,1.01267149859805,0.208102811664379
3.4,493.816862022904,1.01267842495197,0.208092134993517
3.45,492.771506356269,1.01268566356706,0.2080809769109
3.5,491.74866726243,1.01269322367898,0.208069323170061
3.55,490.748385674582,1.01270111465676,0.20805715931801
3.6,489.770702604061,1.0127093460028,0.208044470695348
3.65,488.815659174049,1.01271792735266,0.208031242436371
3.7,487.883296652411,1.01272686847503,0.208017459469193
3.75,486.973656483664,1.01273617927157,0.208003106515864
3.8,486.086780320085,1.01274586977682,0.207988168092496
3.85,485.222710051937,1.01275595015801,0.207972628509396
3.9,484.381487836827,1.01276643071502,0.207956471871204
3.95,483.563156128186,1.01277732188015,0.207939682077032
4,482.767757702887,1.01278863421805,0.207922242820615
4.05,481.995335687982,1.01280037842553,0.207904137590465
4.1,481.245933586583,1.01281256533143,0.207885349670028
4.15,480.51959530288,1.01282520589642,0.207865862137852
4.2,479.816365166303,1.01283831121291,0.207845657867758
4.25,479.136287954834,1.01285189250479,0.207824719529019
4.3,478.479408917485,1.01286596112731,0.207803029586544
4.35,477.845773795937,1.01288052856687,0.207780570301071
4.4,477.235428845355,1.01289560644087,0.207757323729364
4.45,476.648420854394,1.01291120649744,0.207733271724416
4.5,476.084797164396,1.01292734061529,0.207708395935666
4.55,475.544605687798,1.01294402080349,0.207682677809217
4.6,475.02789492575,1.01296125920125,0.207656098588059
4.65,474.534713984978,1.01297906807768,0.20762863931231
4.7,474.065112593877,1.01299745983157,0.207600280819453
4.75,473.61914111786,1.01301644699115,0.207571003744591
4.8,473.196850573982,1.01303604221383,0.207540788520701
4.85,472.798292644841,1.01305625828596,0.207509615378902
4.9,472.423519691779,1.01307710812253,0.207477464348732
4.95,472.072584767385,1.01309860476697,0.207444315258428
5,471.745541627333,1.01312076139078,0.207410147735223
5.05,471.442444741545,1.0131435912933,0.207374941205642
5.1,471.16334930472,1.0131671079014,0.207338674895816
5.15,470.908311246226,1.01319132476914,0.207301327831799
5.2,470.677387239368,1.0132162555775,0.207262878839899
5.25,470.470634710064,1.01324191413404,0.207223306547017
5.3,470.288111844927,1.01326831437255,0.207182589380993
5.35,470.129877598779,1.0132954703527,0.207140705570965
5.4,469.995991701599,1.01332339625973,0.207097633147738
5.45,469.88651466494,1.01335210640402,0.207053349944163
5.5,469.801507787807,1.0133816152208,0.207007833595525
5.55,469.741033162033,1.01341193726968,0.206961061539944
5.6,469.705153677144,1.01344308723429,0.206913011018784
5.65,469.693933024753,1.01347507992191,0.206863659077077
5.7,469.707435702473,1.013507930263,0.206812982563953
5.75,469.745727017386,1.01354165331081,0.206760958133087
5.8,469.808873089066,1.0135762642409,0.206707562243152
5.85,469.896940852171,1.01361177835075,0.20665277115829
5.9,470.009998058632,1.01364821105926,0.206596560948586
5.95,470.148113279434,1.01368557790628,0.206538907490565
6,470.311355906019,1.01372389455214,0.206479786467691
6.05,470.499796151305,1.01376317677714,0.206419173370888
6.1,470.713505050362,1.01380344048107,0.206357043499064
6.15,470.952554460727,1.01384470168265,0.206293371959656
6.2,471.217017062391,1.01388697651903,0.206228133669181
6.25,471.506966357467,1.01393028124524,0.206161303353807
6.3,471.82247666954,1.01397463223362,0.206092855549934
6.35,472.163623142731,1.01402004597326,0.206022764604787
6.4,472.530481740461,1.01406653906941,0.205951004677022
