WindKind,Policy,ExcessMean,ExcessMax,MaxAccelUsed,Steps,EnergyOn
const,openloop,6.86390649957309,6.86390649957309,0,80,1
const,est,7.44815420614268,7.53865899391446,2,80,1
const,windinfer,2.64525846367758,2.66059197328102,2,80,1
const,known,0.243739379267163,0.243739379267163,2,80,1
sin,openloop,7.11125617227159,7.11125617227159,0,80,1
sin,est,7.31039467821818,7.75590555005725,2,80,1
sin,windinfer,4.17173229745126,4.19663794300364,2,80,1
sin,known,0.304321972214557,0.304321972214557,2,80,1
square,openloop,7.23294721417973,7.23294721417973,0,80,1
square,est,6.8243839173133,6.95758557940114,2,80,1
square,windinfer,5.45896402361962,5.70938837713349,2,80,1
square,known,0.326620427348602,0.326620427348602,2,80,1
triangle,openloop,7.03984102386431,7.03984102386431,0,80,1
triangle,est,7.48894440717643,8.04124831000838,2,80,1
triangle,windinfer,4.18951666704673,4.342808379769,2,80,1
triangle,known,0.296745600683243,0.296745600683243,2,80,1
turb,openloop,6.9237725112472,7.00390611167181,0,80,1
turb,est,6.47321660355712,7.08662741124958,2,80,1
turb,windinfer,4.1865089404185,4.98286444848735,2,80,1
turb,known,1.00090507541558,1.05541942939963,2,80,1
composite,openloop,7.15805366713257,7.26001262405569,0,80,1
composite,est,7.10032930172098,7.20072801374331,2,80,1
composite,windinfer,5.28080893568335,5.53673931509632,2,80,1
composite,known,0.493163228822081,0.494889367198819,2,80,1
sector,openloop,6.44110113340012,6.44110113340012,0,80,1
sector,est,6.9888583188877,7.09643652629833,2,80,1
sector,windinfer,3.6673346938039,3.7757647007993,2,80,1
sector,known,0.265540858070857,0.265540858070857,2,80,1
