v,Ptrue_W,Pl0_W,bias_W,dH3_W,dH5_W,dDrag_W,dAux_W,n_krpm
0,464.620520296716,434.620520296716,-30,0,0,0,30,0.713320004588555
0.05,486.04602582951,434.620520303434,-51.4255055260761,2.44016212922049,23.8656446865465,2.296875e-05,30,0.713320004592485
0.1,483.378229806373,434.620520404203,-48.7577094021702,4.85565226396864,23.6131779161388,0.00018375,30,0.713320004651428
0.15,480.738675189767,434.62052084087,-46.1181543488965,7.24648164156938,23.3640158342159,0.00062015625,30,0.713320004906847
0.2,478.127458141289,434.620522016513,-43.5069361247764,9.61266897564924,23.1181351004256,0.00147,30,0.713320005594514
0.25,475.544666939321,434.620524495439,-40.9241424438823,11.9542404309142,22.8755117810465,0.00287109375,30,0.71332000704451
0.3,472.99038203226,434.620529003187,-38.3698530290729,14.2712295866875,22.6361213657605,0.00496125,30,0.713320009681223
0.35,470.464676103635,434.620536426529,-35.8441396771058,16.5636773893476,22.3999387852034,0.00787828125,30,0.713320014023351
0.4,467.967614148874,434.620547813465,-33.3470663354086,18.8316320938405,22.1669384292491,0.01176,30,0.7133200206839
0.45,465.499253563474,434.620564373227,-30.8786891902473,21.0751491944837,21.9370941659809,0.01674421875,30,0.713320030370185
0.5,463.059644242269,434.620587476278,-28.4390567659913,23.2942913453099,21.7103793613012,0.02296875,30,0.713320043883828
0.55,460.648828689458,434.620618654311,-26.0282100351462,25.4891282702337,21.48676689913,0.03057140625,30,0.713320062120762
0.6,458.266842139033,434.620659600251,-23.6461825387818,27.6597366633592,21.2662292021411,0.03969,30,0.713320086071226
0.65,455.913712685211,434.620712168253,-21.2930005169582,29.8062000797738,21.0487382529819,0.05046234375,30,0.713320116819768
0.7,453.589461422419,434.6207783737,-18.9686830487191,31.9286088172051,20.8342656159241,0.06302625,30,0.713320155545241
0.75,451.294102594409,434.620860393209,-16.6732422011999,34.0270597889406,20.6227824588905,0.07751953125,30,0.713320203520809
0.8,449.027643751988,434.620960564623,-14.4066831873656,36.101656388437,20.4142595758026,0.09408,30,0.713320262113941
0.85,446.790085918897,434.621081387015,-12.1690045318812,38.1525083460642,20.2086674091954,0.11284546875,30,0.713320332786409
0.9,444.581423765282,434.621225520691,-9.96019824459097,40.1797315784509,20.0059760730419,0.13395375,30,0.713320417094296
0.95,442.40164578825,434.621395787178,-7.78025000107192,42.1834480309134,19.8061553757354,0.15754265625,30,0.713320516687984
1,440.250734498948,434.621595169237,-5.62913932971094,44.1637855134619,19.6091748431729,0.18375,30,0.713320633312161
1.05,438.128666615597,434.621826810851,-3.50683980474622,46.1208775308928,19.415003741889,0.21271359375,30,0.713320768805814
1.1,436.035413261937,434.622094017231,-1.41331924470535,48.0548631074796,19.223611102185,0.24457125,30,0.713320925102234
1.15,433.970940170482,434.622400254812,0.651460084330267,49.9658866067853,19.034965741205,0.27946078125,30,0.713321104229006
1.2,431.935207890042,434.622749151252,2.68754126121098,51.8540975471186,18.8490362859077,0.31752,30,0.713321308308014
1.25,429.928171996908,434.623144495432,4.69497249852412,53.71965041316,18.6657911958858,0.35888671875,30,0.713321539555435
1.3,427.949783309159,434.623590237449,6.6738069282905,55.5627044642788,18.4851987859883,0.40369875,30,0.713321800281737
1.35,425.99998810351,434.624090488624,8.62410238511404,57.3834235400633,18.3072272486993,0.45209390625,30,0.713322092891674
1.4,424.078728334146,434.624649521487,10.5459211873405,59.1819758635728,18.1318446762323,0.50421,30,0.713322419884287
1.45,422.185941853016,434.625271769787,12.4393299167705,60.958533842821,17.9590190823005,0.56018484375,30,0.713322783852895
1.5,420.321562631024,434.625961828481,14.3043991974568,62.71327387098,17.7887184235231,0.62015625,30,0.713323187485095
1.55,418.485520979626,434.626724453733,16.1412034741072,64.4463761257916,17.6209106204344,0.68426203125,30,0.713323633562752
1.6,416.677743772321,434.627564562913,17.9498207905911,66.1580243686521,17.455563578061,0.75264,30,0.713324124961999
1.65,414.898154665553,434.628487234589,19.7303325690366,67.8484057438241,17.2926452060375,0.82542796875,30,0.713324664653227
1.7,413.146674318546,434.629497708528,21.4828233899818,69.5177105782136,17.1321234382318,0.90276375,30,0.71332525570108
1.75,411.423220611661,434.630601385686,23.2073807740244,71.1661321821295,16.9739662518552,0.98478515625,30,0.713325901264447
1.8,409.727708862813,434.631803828206,24.9040949653934,72.7938666514267,16.8181416860333,1.07163,30,0.713326604596454
1.85,408.060052041569,434.633110759415,26.573058717846,74.4011126714137,16.6646178598177,1.16343609375,30,0.713327369044457
1.9,406.420160980548,434.634528063811,28.2143670832627,75.9880713228828,16.5133629896201,1.26034125,30,0.71332819805003
1.95,404.807944583764,434.636061787064,29.8281172033005,77.5549458906036,16.3643454060531,1.36248328125,30,0.713329095148955
2,403.223310031573,434.637718136005,31.4144081044317,79.1019416745966,16.2175335701649,1.47,30,0.713330063971211
2.05,401.666162981943,434.639503478619,32.9733404966761,80.6292658044818,16.0728960890556,1.58302921875,30,0.713331108240965
2.1,400.136407767729,434.641424344037,34.5050165763083,82.1371270571766,15.9304017308683,1.70170875,30,0.713332231776553
2.15,398.633947589729,434.643487422528,36.0095398327984,83.6257356781948,15.7900194391464,1.82617640625,30,0.713333438490469
2.2,397.158684705268,434.645699565488,37.4870148602201,85.0953032067751,15.651718346555,1.95657,30,0.713334732389352
2.25,395.710520612094,434.648067785432,38.9375471733378,86.5460423050488,15.515467787961,2.09302734375,30,0.713336117573965
2.3,394.289356227422,434.65059925598,40.3612430285577,87.9781665914324,15.3812373128747,2.23568625,30,0.71333759823918
2.35,392.89509206194,434.653301311848,41.7582092499081,89.3918904784097,15.2489966972516,2.38468453125,30,0.713339178673958
2.4,391.527628388645,434.656181448836,43.1285530601916,90.7874290148507,15.1187159546591,2.54016,30,0.713340863261334
2.45,390.186865406384,434.659247323811,44.4723819174274,92.1649977329894,14.990365346812,2.70225046875,30,0.713342656478385
2.5,388.87270339801,434.662506754696,45.7898033566861,93.5248125001688,14.8639153934826,2.87109375,30,0.713344562896217
2.55,387.585042883063,434.665967720456,47.0809248373937,94.8670893754384,14.7393368817947,3.04682765625,30,0.713346587179939
2.6,386.323784764911,434.669638361077,48.3458535961657,96.1920444710731,14.6166008749075,3.22959,30,0.713348734088631
2.65,385.088830472338,434.673526977552,49.584696505214,97.499893819067,14.495678720103,3.41951859375,30,0.713351008475323
2.7,383.880082095517,434.677642031866,50.79755993635,98.7908532426347,14.3765420562848,3.61675125,30,0.713353415286963
2.75,382.697442516381,434.681992146972,51.984549630591,100.065138232743,14.2591628209021,3.82142578125,30,0.713355959564389
2.8,381.540815533407,434.686586106771,53.1457705733645,101.322963829676,14.1435132563119,4.03368,30,0.713358646442291
2.85,380.41010598081,434.691432856094,54.2813268752842,102.564544509627,14.0295659155927,4.25365171875,30,0.713361481149183
2.9,379.305219842211,434.696541500677,55.3913216584663,103.79009407629,13.9172936678239,4.48147875,30,0.713364469007359
2.95,378.226064358803,434.701921307137,56.475856948334,104.999825557431,13.8066697028468,4.71729890625,30,0.713367615432864
3,377.172548132097,434.707581702947,57.53503357085,106.193951106372,13.697667535522,4.96125,30,0.713370925935444
3.05,376.144581221304,434.713532276413,58.5689510551092,107.372681908359,13.5902610094994,5.21346984375,30,0.713374406118511
3.1,375.142075235432,434.719782776639,59.5777075412066,108.536228091724,13.4844243005174,5.47409625,30,0.713378061679093
3.15,374.164943420212,434.726343113504,60.5613996932926,109.684798643789,13.3801319192467,5.74326703125,30,0.71338189840779
3.2,373.213100739911,434.73322335763,61.5201226177185,110.818601331416,13.2773587136972,6.02112,30,0.713385922188721
