b_pct_mps,vstar_fitted,dv_vs_true,true_excess_pred_pct
-2.8,6.45,1.3,2.3032087279575
-1.4,5.7,0.55,0.41598419511461
-0.7,5.4,0.25,0.0884523568078811
0.7,4.9,-0.25,0.0787108169134847
1.4,4.65,-0.5,0.324473143418173
2.8,4.2,-0.95,1.18903556427238
