chunk,arm,estMode,s1_pct,s2_pct_mps,s4_vpct,dwell_s,excess_true_pct,moe_true,margin_pp,bias_meas_pct,uOpTail,uStarFit,duStarFit,windErr,rowsN,runtime_s
ANCHOR,openloop,truth,0,0,0,0,6.2642733711266034,0.94105005217276827,NaN,0.16878630153146118,4.9428910833334632,NaN,NaN,NaN,3600,157.198
ANCHOR,known,truth,0,0,0,0,0.42154152460577543,0.99580227988730396,NaN,0.1676417414002277,5.3694151763448783,NaN,NaN,NaN,3601,155.744
ANCHOR,sweepcal,truth,0,0,0,0,4.0240816469000933,0.9613158647190998,NaN,0.20961265565702142,5.5495645050437155,5.6118917678942974,NaN,2.9647060334402195,3602,153.238
ANCHOR,purerl_off,truth,0,0,0,0,0.46268296046516827,0.99539447935461522,NaN,0.16709978279982377,5.3380245560399304,NaN,NaN,NaN,3604,158.780
ANCHOR,purerl_on,truth,0,0,0,0,0.92806383118388136,0.9908046999421668,NaN,0.14552152686732731,4.8782716101844183,NaN,NaN,NaN,3605,156.747
XCHECK,openloop,l0,0,0,0,0,6.2642733711266034,0.94105005217276827,0,20.956714529319076,4.9428910833334632,NaN,NaN,NaN,3600,158.294
XCHECK,known,l0,0,0,0,0,0.42154152460577543,0.99580227988730396,5.8427318465208282,22.282687037545468,5.3694151763448783,NaN,NaN,NaN,3601,155.163
S3,sweepcal,l0,0,0,0,0,17.916294594600021,0.84805921305281162,-11.652021223473419,3.8566410221955776,1.5219461800428165,0.5,-4.6500000000000004,2.2930488562482698,3600,158.764
S3,purerl_off,l0,0,0,0,0,3.5250797939819538,0.96594950903687327,2.7391935771446496,19.027767906885089,5.9268612519995401,NaN,NaN,NaN,3600,258.308
S3,purerl_on,l0,0,0,0,0,2.6856740667680117,0.97384567914486553,3.5785993043585917,21.13303520602172,5.4424851285010885,NaN,NaN,NaN,3603,261.966
S1m3,sweepcal,truth,-3,0,0,0,4.0588137372758828,0.96099500281135786,2.2054596338507206,-2.8263557338779366,5.4950044765471144,5.6225148732381545,0.47251487323815411,2.9100253857687166,3600,157.268
S1m3,purerl_off,truth,-3,0,0,0,0.50954971293640339,0.99493033533239661,5.7547236581902004,-2.8786912025021536,5.6550645292145969,NaN,NaN,NaN,3601,258.641
S1p3,sweepcal,truth,3,0,0,0,4.0155576521173302,0.96139464381330852,2.2487157190092733,3.1898461153475268,5.6517343701600309,5.6299189059834962,0.47991890598349585,2.9874933816970914,3601,159.109
S1p3,purerl_off,truth,3,0,0,0,0.50954971293636819,0.99493033533239694,5.754723658190235,3.1288124344564712,5.6550645292146404,NaN,NaN,NaN,3601,254.513
S1m5,sweepcal,truth,-5,0,0,0,4.0456166915271226,0.96111689449137006,2.2186566795994809,-4.8249746692825983,5.6732861622404247,5.6356385460153726,0.48563854601537226,2.9821152831410926,3601,156.082
S1m5,purerl_off,truth,-5,0,0,0,0.50954971293635065,0.99493033533239705,5.7547236581902528,-4.8811924148217116,5.655064529214652,NaN,NaN,NaN,3601,256.105
S1p5,sweepcal,truth,5,0,0,0,4.0196350512853156,0.96135695871934668,2.2446383198412878,5.1986110445111882,5.4253376815168535,5.6178698306976269,0.46786983069762655,2.9781319537631279,3603,158.780
S1p5,purerl_off,truth,5,0,0,0,0.50954971293640339,0.99493033533239661,5.7547236581902004,5.1313136467760287,5.6550645292145871,NaN,NaN,NaN,3601,259.163
S1p5,purerl_on,truth,5,0,0,0,0.50083222891522594,0.99501663600382473,5.7634411422113772,5.1497827354375252,5.4815803512578354,NaN,NaN,NaN,3604,259.929
S2m07,sweepcal,truth,0,-0.69999999999999996,0,0,4.2808537465955219,0.95894880418798567,1.9834196245310816,-3.459904644892045,5.1430685979029533,5.8843377515778785,0.73433775157787817,3.0743909395693003,3603,160.129
S2m07,purerl_off,truth,0,-0.69999999999999996,0,0,0.97249711385306825,0.99036869304364616,5.2917762572735354,-3.5803537991856307,5.3276777364670558,NaN,NaN,NaN,3600,261.089
S2p07,sweepcal,truth,0,0.69999999999999996,0,0,3.8485475059257857,0.96294076712333232,2.4157258652008178,4.1990744623721854,5.7720477230612399,5.3902919505602016,0.24029195056020125,2.9746704672807529,3600,158.556
