Algorithm,Seed,EnergyOn,FinalError,HitsGlobal,SteadyRegretPercent,EnergyExcessPercent,EvalsToEps,ScanSteps,RefineSteps
single_golden,11,1,4.48653382050206,0,9.7504838301619,9.73458321029878,NaN,0,52
single_golden,11,0,4.48653382050206,0,9.7504838301619,NaN,NaN,0,52
single_golden,12,1,3.76594202199647,0,8.58612956458009,8.61063014941934,NaN,0,52
single_golden,12,0,3.76594202199647,0,8.58612956458009,NaN,NaN,0,52
single_golden,13,1,3.41702898900177,0,9.52962072660157,9.52295665463374,NaN,0,52
single_golden,13,0,3.41702898900177,0,9.52962072660157,NaN,NaN,0,52
single_golden,14,1,3.92198067399882,0,8.38743852098027,8.41545100905358,NaN,0,52
single_golden,14,0,3.92198067399882,0,8.38743852098027,NaN,NaN,0,52
single_golden,15,1,4.3391909045421,0,9.14754335010465,9.15580207625621,NaN,0,52
single_golden,15,0,4.3391909045421,0,9.14754335010465,NaN,NaN,0,52
single_golden,16,1,3.91660641356742,0,8.39013605161379,8.41785817249279,NaN,0,52
single_golden,16,0,3.91660641356742,0,8.39013605161379,NaN,NaN,0,52
single_golden,17,1,3.66950483150029,0,8.8109988624276,8.82366073351734,NaN,0,52
single_golden,17,0,3.66950483150029,0,8.8109988624276,NaN,NaN,0,52
single_golden,18,1,3.93067641004122,0,8.38375323690476,8.41215373294009,NaN,0,52
single_golden,18,0,3.93067641004122,0,8.38375323690476,NaN,NaN,0,52
single_golden,19,1,3.93067641004122,0,8.38375323690476,8.41215373294009,NaN,0,52
single_golden,19,0,3.93067641004122,0,8.38375323690476,NaN,NaN,0,52
single_golden,20,1,4.09208932247497,0,8.4729475889414,8.50682424702731,NaN,0,52
single_golden,20,0,4.09208932247497,0,8.4729475889414,NaN,NaN,0,52
single_golden,21,1,3.66950483150029,0,8.8109988624276,8.82366073351734,NaN,0,52
single_golden,21,0,3.66950483150029,0,8.8109988624276,NaN,NaN,0,52
single_golden,22,1,4.3391909045421,0,9.14754335010465,9.15580207625621,NaN,0,52
single_golden,22,0,4.3391909045421,0,9.14754335010465,NaN,NaN,0,52
single_golden,23,1,4.23405797800353,0,8.79195423170809,8.820570760188,NaN,0,52
single_golden,23,0,4.23405797800353,0,8.79195423170809,NaN,NaN,0,52
single_golden,24,1,4.06932358995878,0,8.44210743878287,8.47767904332694,NaN,0,52
single_golden,24,0,4.06932358995878,0,8.44210743878287,NaN,NaN,0,52
single_golden,25,1,4.07469785039018,0,8.44885314512219,8.48382171689355,NaN,0,52
single_golden,25,0,4.07469785039018,0,8.44885314512219,NaN,NaN,0,52
single_golden,26,1,4.09208932247497,0,8.4729475889414,8.50556316368545,NaN,0,52
single_golden,26,0,4.09208932247497,0,8.4729475889414,NaN,NaN,0,52
single_golden,27,1,4.07801932600118,0,8.45318791856362,8.4784418738262,NaN,0,52
single_golden,27,0,4.07801932600118,0,8.45318791856362,NaN,NaN,0,52
single_golden,28,1,4.05525359348498,0,8.42602265588262,8.45354451823754,NaN,0,52
single_golden,28,0,4.05525359348498,0,8.42602265588262,NaN,NaN,0,52
single_golden,29,1,3.92198067399882,0,8.38743852098027,8.41545100905358,NaN,0,52
single_golden,29,0,3.92198067399882,0,8.38743852098027,NaN,NaN,0,52
single_golden,30,1,4.11817653060216,0,8.51550183116433,8.53594695259651,NaN,0,52
single_golden,30,0,4.11817653060216,0,8.51550183116433,NaN,NaN,0,52
esc,11,1,0.416968859887044,0,1.85288560216523,3.69857894744116,105,0,0
esc,11,0,0.416968859887044,0,1.85288560216523,NaN,105,0,0
esc,12,1,0.107502897692261,1,1.65806820017488,2.39934980361932,41,0,0
esc,12,0,0.107502897692261,1,1.65806820017488,NaN,41,0,0
esc,13,1,0.368260963630547,0,2.30517756257811,4.29456990239211,138,0,0
esc,13,0,0.368260963630547,0,2.30517756257811,NaN,138,0,0
esc,14,1,0.980141881768458,0,1.74972037575186,3.46306644857479,110,0,0
esc,14,0,0.980141881768458,0,1.74972037575186,NaN,110,0,0
esc,15,1,0.998177087873248,0,1.45945537694108,3.80425860946044,119,0,0
esc,15,0,0.998177087873248,0,1.45945537694108,NaN,119,0,0
esc,16,1,0.811320209010647,0,1.67942896888419,3.32105946823601,82,0,0
esc,16,0,0.811320209010647,0,1.67942896888419,NaN,82,0,0
esc,17,1,0.241712939052444,1,1.83686648314375,3.29009121190811,89,0,0
esc,17,0,0.241712939052444,1,1.83686648314375,NaN,89,0,0
esc,18,1,0.601724722681895,0,2.28195666325974,2.62296565464474,44,0,0
esc,18,0,0.601724722681895,0,2.28195666325974,NaN,44,0,0
esc,19,1,0.109817216653067,1,2.11082789601501,2.81077624559638,48,0,0
esc,19,0,0.109817216653067,1,2.11082789601501,NaN,48,0,0
esc,20,1,0.431384089407953,0,2.35582069038511,2.85008921881927,61,0,0
esc,20,0,0.431384089407953,0,2.35582069038511,NaN,61,0,0
esc,21,1,1.20618562891285,0,1.97025948891591,3.58336531953387,103,0,0
esc,21,0,1.20618562891285,0,1.97025948891591,NaN,103,0,0
esc,22,1,0.31761269878188,1,1.44265224748546,2.50478076785248,50,0,0
esc,22,0,0.31761269878188,1,1.44265224748546,NaN,50,0,0
esc,23,1,0.00499966987281653,1,1.55689743762732,7.3056105057637,298,0,0
esc,23,0,0.00499966987281653,1,1.55689743762732,NaN,298,0,0
esc,24,1,0.559497068554795,0,2.22147622754913,3.81265054529171,122,0,0
esc,24,0,0.559497068554795,0,2.22147622754913,NaN,122,0,0
esc,25,1,1.06541541288492,0,1.20524337090251,4.9855325001621,170,0,0
esc,25,0,1.06541541288492,0,1.20524337090251,NaN,170,0,0
esc,26,1,0.229112310254289,1,1.44095195017707,2.98100401312562,77,0,0
esc,26,0,0.229112310254289,1,1.44095195017707,NaN,77,0,0
