WindKind,Policy,MOE_energy,EnergyExcessPercent,TailRegretPercent,ExcessStd,UstarErrMax,Steps
zero,openloop,1,0,0,0,NaN,800
zero,sweepcal,0.973786554031535,2.69212808998757,1.07485982698353,0.212221902177968,0.297063921338507,800
zero,rl,0.96797785210135,3.30826729619449,2.69602688074664,0.15645766855445,NaN,800
zero,purerl,0.977290794482603,2.32368969883479,1.49174188630253,0.00018622872598985,NaN,800
zero,hybrid,0.97095183331954,2.99292225667362,2.77064443262086,0.497503884658642,0.882757304771392,800
zero,known,1,0,0,0,NaN,800
const,openloop,0.939846321287619,6.40037390687113,6.63200110724694,0,NaN,800
const,sweepcal,0.981270496970359,1.90881833899738,0.374655817827853,0.155768576293024,0.107704818682578,800
const,rl,0.95200657882649,5.04138462053512,5.31962799580425,0.140306128058522,NaN,800
const,purerl,0.958022452029918,4.3817748246501,2.52240626900568,0.135185219616779,NaN,800
const,hybrid,0.979453108344759,2.09843072596809,0.984320098386609,0.361067101369128,0.443358190661152,800
const,known,0.998868150781779,0.113313175250877,0.111990364998324,0,NaN,800
vary,openloop,0.954180528732606,4.80197375192684,4.92216446867215,0.0244744997050437,NaN,800
vary,sweepcal,0.965304676967036,3.59423745647107,2.39564828644047,0.0203190803501349,0.563770082858344,800
vary,rl,0.96597583374211,3.52226627057848,1.91573570541942,0.0400180025443552,NaN,800
vary,purerl,0.963947272870961,3.74029312036723,2.39651781210452,0.192767171129731,NaN,800
vary,hybrid,0.962494355864436,3.89882754670471,3.68426887717982,0.662847359001007,0.93742485888204,800
vary,known,0.996963237486637,0.304601271462258,0.306164628188382,0.00192434439684971,NaN,800
