Algorithm,Scenario,Seed,TailErr,FinalErr,RegretPercent,MOE_energy,EnergyExcessPercent,TSearchOrRecovery,SearchSteps,BudgetUtilization,EnergyOn,MOENoWind
ea_multistart,static_wind,11,0.238665721062918,0.324207114796763,1.45246231692746,0.953983337802144,4.82363374436632,146,198,1,1,NaN
ea_multistart,static_wind,12,0.436069283119835,0.900173044495729,2.15285901169766,0.925959308805055,7.9961063613577,211,252,1,1,NaN
ea_multistart,static_wind,13,0.692275752516213,0.212343712745774,3.18636421888082,0.945080884076769,5.81104928144644,161,198,1,1,NaN
ea_multistart,static_wind,14,0.348673297695455,0.143804728120418,1.8518333460381,0.952165436482734,5.02376600582824,146,198,1,1,NaN
ea_multistart,static_wind,15,0.195141613929879,0.193491543044388,3.49762646047265,0.922064029291266,8.45233825774974,378,261,1,1,NaN
ea_multistart,static_wind,16,0.473251661306129,0.00167677970974456,2.34852253249031,0.95000832349973,5.26223563137913,152,198,1,1,NaN
ea_multistart,static_wind,17,0.313157872997175,0.185712873286453,1.73099008455989,0.952919104317116,4.9407022557936,146,198,1,1,NaN
ea_multistart,static_wind,18,0.201158151650139,0.649650354013832,0.415644818252238,0.910401555217379,9.84164012782555,346,316,1,1,NaN
ea_multistart,static_wind,19,0.43421250521494,0.0461316303847301,2.19817063990207,0.950340688216047,5.22542204071811,152,198,1,1,NaN
ea_multistart,static_wind,20,0.30626426576337,0.202528694878432,1.69545932493559,0.952989137843085,4.93299034481292,146,198,1,1,NaN
ea_multistart,static_wind,21,0.314792810585203,0.827884685518436,0.887690462349447,0.953141092014834,4.91626144101201,117,183,1,1,NaN
ea_multistart,static_wind,22,0.192917619355727,0.599243744408295,0.873169815140991,0.957728079180886,4.41377064513631,117,183,1,1,NaN
ea_multistart,static_wind,23,0.377631608617714,0.155920174764444,1.19192785507822,0.949780942619436,5.28743577882944,150,181,1,1,NaN
ea_multistart,static_wind,24,0.207497320861391,0.382393279968243,1.36643401252147,0.958464552962248,4.33354023467863,82,183,1,1,NaN
ea_multistart,static_wind,25,0.212946260606521,0.659827238352502,1.48290412426011,0.929144741281549,7.62585801440597,211,252,1,1,NaN
ea_multistart,static_wind,26,0.192211661838174,0.398325369459168,1.32862193613223,0.958748566142838,4.3026331734838,82,183,1,1,NaN
ea_multistart,static_wind,27,0.232731730572455,0.318758729668835,1.44095509173624,0.954056767659016,4.81556589695549,146,198,1,1,NaN
ea_multistart,static_wind,28,0.215797930118562,0.652586138499545,1.47088402884885,0.945881046947925,5.72153900606216,148,192,1,1,NaN
ea_multistart,static_wind,29,0.456788931325791,0.0159096632185456,2.29073328058004,0.949609662579817,5.30642635662388,152,198,1,1,NaN
ea_multistart,static_wind,30,0.397402324575563,0.0976157175052972,2.054843134722,0.950100032886016,5.25207508544213,150,198,1,1,NaN
multistart,static_wind,11,2.07842166804062,1.5636451569418,5.31855684914235,0.929119095696087,7.62882870799356,20,233,1,1,NaN
multistart,static_wind,12,1.93671184337061,1.42193533227179,4.80532628501627,0.92909868040225,7.63119366040366,20,205,1,1,NaN
multistart,static_wind,13,2.18251838713696,1.66774187603814,5.8053372143382,0.92458888822402,8.15617759811412,20,205,1,1,NaN
multistart,static_wind,14,2.07819614014998,1.56341962905116,5.31759691467952,0.922463687240174,8.40535121678334,20,233,1,1,NaN
